ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-01-01,54062.502378746176,23065.839479959566,47933.270673036575,54062.502378746176,54062.502378746176,-18419.239471393685,-18419.239471393685,-18419.239471393685,-18419.239471393685,-18419.239471393685,-18419.239471393685,0.0,0.0,0.0,35643.26290735249
2013-01-01,55453.29016848427,24088.04121589244,47918.17232358513,55453.29016848427,55453.29016848427,-19444.683102175608,-19444.683102175608,-19444.683102175608,-19444.683102175608,-19444.683102175608,-19444.683102175608,0.0,0.0,0.0,36008.607066308665
2014-01-01,56840.27799144564,25314.541711058846,50209.42650856882,56840.27799144564,56840.27799144564,-19349.482897498292,-19349.482897498292,-19349.482897498292,-19349.482897498292,-19349.482897498292,-19349.482897498292,0.0,0.0,0.0,37490.79509394735
2015-01-01,58227.265814407016,27199.678028103408,51624.07296797411,58227.265814407016,58227.265814407016,-19007.52902783794,-19007.52902783794,-19007.52902783794,-19007.52902783794,-19007.52902783794,-19007.52902783794,0.0,0.0,0.0,39219.736786569076
2016-01-01,59614.253637368376,28445.37411635679,54053.99492323155,59614.253637368376,59614.253637368376,-18419.239471393998,-18419.239471393998,-18419.239471393998,-18419.239471393998,-18419.239471393998,-18419.239471393998,0.0,0.0,0.0,41195.01416597438
2017-01-01,61005.041426968,29207.587331292518,53570.168409160804,61005.041426968,61005.041426968,-19444.683102174564,-19444.683102174564,-19444.683102174564,-19444.683102174564,-19444.683102174564,-19444.683102174564,0.0,0.0,0.0,41560.35832479343
2018-01-01,62392.02924992936,29827.44183705472,54970.67156417959,62392.02924992936,62392.02924992936,-19349.48289749967,-19349.48289749967,-19349.48289749967,-19349.48289749967,-19349.48289749967,-19349.48289749967,0.0,0.0,0.0,43042.54635242969
2019-01-01,63779.01707289072,31912.814297238143,56796.56927768398,63779.01707289072,63779.01707289072,-19007.529027835135,-19007.529027835135,-19007.529027835135,-19007.529027835135,-19007.529027835135,-19007.529027835135,0.0,0.0,0.0,44771.48804505558
2020-01-01,65166.00489585209,34139.53184948217,58518.53213123496,65166.00489585209,65166.00489585209,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,0.0,0.0,0.0,46746.765424458994
2021-01-01,66556.79268545171,34650.329526494366,59902.774400178765,66556.79268545171,66556.79268545171,-19444.6831021752,-19444.6831021752,-19444.6831021752,-19444.6831021752,-19444.6831021752,-19444.6831021752,0.0,0.0,0.0,47112.10958327651
2022-01-01,67943.78050841307,36593.073760127634,61301.74197251291,67943.78050841307,67943.78050841307,-19349.48289749787,-19349.48289749787,-19349.48289749787,-19349.48289749787,-19349.48289749787,-19349.48289749787,0.0,0.0,0.0,48594.29761091519
2022-12-31,69326.9683647362,40967.0676923071,66134.0786854364,69326.95163298669,69326.98464908553,-15186.937545421548,-15186.937545421548,-15186.937545421548,-15186.937545421548,-15186.937545421548,-15186.937545421548,0.0,0.0,0.0,54140.03081931465
2023-12-31,70713.95618769755,45310.642778324465,68798.37773606878,70713.90174881252,70714.01095749451,-13626.00720932093,-13626.00720932093,-13626.00720932093,-13626.00720932093,-13626.00720932093,-13626.00720932093,0.0,0.0,0.0,57087.94897837662
2024-12-31,72104.74397729717,41609.21276935068,67787.99171169396,72104.63404658974,72104.8526447264,-17585.459521812016,-17585.459521812016,-17585.459521812016,-17585.459521812016,-17585.459521812016,-17585.459521812016,0.0,0.0,0.0,54519.284455485154
2025-12-31,73491.73180025854,45703.36521228645,69237.88856117864,73491.54687128612,73491.90839169911,-16507.4604657501,-16507.4604657501,-16507.4604657501,-16507.4604657501,-16507.4604657501,-16507.4604657501,0.0,0.0,0.0,56984.271334508434
2026-12-31,74878.7196232199,47551.16535300315,71400.94696897265,74878.4581134004,74878.97425221809,-15186.937545424338,-15186.937545424338,-15186.937545424338,-15186.937545424338,-15186.937545424338,-15186.937545424338,0.0,0.0,0.0,59691.782077795564
